UF;YEAR;MONTH;RAIN;DENGUE
SP;2015;07;2145.4;0.0
SP;2015;08;568.4;0.0
SP;2015;09;4513.8;0.0
SP;2015;10;3177.6;0.0
SP;2015;11;7333.2;0.0
SP;2015;12;6328.6;0.0
SP;2016;01;8540.8;0.0
SP;2016;02;5933.0;0.0
SP;2016;03;4522.2;0.0
SP;2016;04;890.4;0.0
SP;2016;05;2823.2;0.0
SP;2016;06;2771.6;0.0
SP;2016;07;294.0;0.0
SP;2016;08;1983.8;0.0
SP;2016;09;841.4;0.0
SP;2016;10;3399.8;0.0
SP;2016;11;3348.0;0.0
SP;2016;12;5190.0;0.0
SP;2017;01;8511.0;0.0
SP;2017;02;2650.4;0.0
SP;2017;03;4702.8;0.0
SP;2017;04;4076.6;0.0
SP;2017;05;4400.4;0.0
SP;2017;06;1948.8;0.0
SP;2017;07;129.8;0.0
SP;2017;08;1920.6;0.0
SP;2017;09;868.8;0.0
SP;2017;10;5218.6;0.0
SP;2017;11;7342.0;0.0
SP;2017;12;7764.6;0.0
SP;2018;01;9322.2;0.0
SP;2018;02;5156.4;0.0
SP;2018;03;6245.2;0.0
SP;2018;04;1605.8;0.0
SP;2018;05;1054.6;0.0
SP;2018;06;930.6;0.0
SP;2018;07;480.0;0.0
SP;2018;08;2383.2;0.0
SP;2018;09;3353.4;0.0
SP;2018;10;6952.6;0.0
SP;2018;11;6890.2;0.0
SP;2018;12;5207.2;0.0
SP;2019;01;6054.0;0.0
SP;2019;02;8842.6;0.0
SP;2019;03;6784.0;0.0
SP;2019;04;4276.2;0.0
SP;2019;05;3183.0;0.0
SP;2019;06;1243.4;0.0
SP;2019;07;1961.2;0.0
SP;2019;08;985.6;0.0
SP;2019;09;2510.8;0.0
SP;2019;10;2585.4;0.0
SP;2019;11;5480.2;0.0
SP;2019;12;6569.2;0.0
PR;2015;01;2450.6;0.0
PR;2015;02;3136.4;0.0
PR;2015;03;2700.6;0.0
PR;2015;04;1249.4;0.0
PR;2015;05;2329.4;0.0
PR;2015;06;1476.8;0.0
PR;2015;07;3717.2;0.0
PR;2015;08;760.8;0.0
PR;2015;09;2980.0;0.0
PR;2015;10;4111.2;0.0
PR;2015;11;5959.0;0.0
PR;2015;12;4982.4;0.0
PR;2016;01;3801.2;0.0
PR;2016;02;4652.6;0.0
PR;2016;03;2390.4;0.0
PR;2016;04;1584.8;0.0
PR;2016;05;3169.6;0.0
PR;2016;06;1709.6;0.0
PR;2016;07;1208.2;0.0
PR;2016;08;2905.6;0.0
PR;2016;09;1161.2;0.0
PR;2016;10;3740.6;0.0
PR;2016;11;2161.4;0.0
PR;2016;12;4527.6;0.0
PR;2017;01;5144.8;0.0
PR;2017;02;3264.4;0.0
PR;2017;03;2566.0;0.0
PR;2017;04;2595.6;0.0
PR;2017;05;5021.8;0.0
PR;2017;06;2809.6;0.0
PR;2017;07;128.6;0.0
PR;2017;08;2653.6;0.0
PR;2017;09;787.0;0.0
PR;2017;10;6421.0;0.0
PR;2017;11;4184.6;0.0
PR;2017;12;5683.6;0.0
PR;2018;01;6024.2;0.0
PR;2018;02;2724.2;0.0
PR;2018;03;4377.0;0.0
PR;2018;04;592.4;0.0
PR;2018;05;1129.2;0.0
PR;2018;06;2088.6;0.0
